"Part";"Value";"Device";"Package";"Description";"DESCRIPTION";"DIGIKEY";"MANUFACTURER";"MOUSER";"MPN";"RICHARDSON_RFPD";
"A1";"FRACTUS-2.4GHZ-FR05-S1-N-0-102";"FRACTUS-2.4GHZ-FR05-S1-N-0-102";"FRACTUS-ANTENNA-FR05-S1-N-0-102";"Fractus Compact Reach XtendTM chip antenna is engineered specifically for Bluetooth,";"";"";"Fractus";"";"FR05-S1-N-0-102";"FR05-S1-N-0102B";
"B1";"BAL-NRF01D3";"BAL-NRF01D3";"BAL-NRF01D3";"50 ohm nominal input / conjugate match balun to nRF51422-QFAA,";"";"497-13637-1-ND";"";"511-BAL-NRF01D3";"";"";
"C1";"0.8pF";"CAPACITOR0402_CAP";"0402_CAP";"SMD Capacitor";"CAP CER 0.8PF 50V C0G/NP0 0402";"490-6269-1-ND";"Murata";"";"GRM1555C1HR80BA01D";"";
"C2";"8pF";"CAPACITOR0402_CAP";"0402_CAP";"SMD Capacitor";"CAP CER 8PF 50V C0G/NP0 0402";"490-8230-1-ND";"Murata";"";"GRM1555C1H8R0BA01D";"";
"C3";"8pF";"CAPACITOR0402_CAP";"0402_CAP";"SMD Capacitor";"CAP CER 8PF 50V C0G/NP0 0402";"490-8230-1-ND";"Murata";"";"GRM1555C1H8R0BA01D";"";
"C4";"12pF";"CAPACITOR0402_CAP";"0402_CAP";"SMD Capacitor";"CAP CER 12PF 50V C0G/NP0 0402";"490-6197-1-ND";"Murata";"";"GRM1555C1H120GA01D";"";
"C5";"12pF";"CAPACITOR0402_CAP";"0402_CAP";"SMD Capacitor";"CAP CER 12PF 50V C0G/NP0 0402";"490-6197-1-ND";"Murata";"";"GRM1555C1H120GA01D";"";
"C6";"12pF";"CAPACITOR0402_CAP";"0402_CAP";"SMD Capacitor";"CAP CER 12PF 50V C0G/NP0 0402";"490-6197-1-ND";"Murata";"";"GRM1555C1H120GA01D";"";
"C7";"12pF";"CAPACITOR0402_CAP";"0402_CAP";"SMD Capacitor";"CAP CER 12PF 50V C0G/NP0 0402";"490-6197-1-ND";"Murata";"";"GRM1555C1H120GA01D";"";
"C8";"33pF";"CAPACITOR0603_CAP";"0603_CAP";"SMD Capacitor";"CAP CER 33PF 250V C0G/NP0 0603";"712-1342-1-ND";"Johanson";"";"251R14S330JV4T";"";
"C9";"47pF";"CAPACITOR0402_CAP";"0402_CAP";"SMD Capacitor";"CAP CER 47PF 50V C0G/NP0 0402";"490-6241-1-ND";"Murata";"";"GRM1555C1H470FA01D";"";
"C10";"47pF";"CAPACITOR0402_CAP";"0402_CAP";"SMD Capacitor";"CAP CER 47PF 50V C0G/NP0 0402";"490-6241-1-ND";"Murata";"";"GRM1555C1H470FA01D";"";
"C11";"47pF";"CAPACITOR0402_CAP";"0402_CAP";"SMD Capacitor";"CAP CER 47PF 50V C0G/NP0 0402";"490-6241-1-ND";"Murata";"";"GRM1555C1H470FA01D";"";
"C12";"47pF";"CAPACITOR0402_CAP";"0402_CAP";"SMD Capacitor";"CAP CER 47PF 50V C0G/NP0 0402";"490-6241-1-ND";"Murata";"";"GRM1555C1H470FA01D";"";
"C13";"56pF";"CAPACITOR0402_CAP";"0402_CAP";"SMD Capacitor";"CAP CER 56PF 50V C0G/NP0 0402";"490-1288-1-ND";"Murata";"";"GRM1555C1H560JA01D";"";
"C14";"1nF";"CAPACITOR0402_CAP";"0402_CAP";"SMD Capacitor";"CAP CER 1000PF 50V X7R 0402";"490-1303-1-ND";"Murata";"";"GRM155R71H102KA01D";"";
"C15";"1nF";"CAPACITOR0402_CAP";"0402_CAP";"SMD Capacitor";"CAP CER 1000PF 50V X7R 0402";"490-1303-1-ND";"Murata";"";"GRM155R71H102KA01D";"";
"C16";"2.2nF";"CAPACITOR0402_CAP";"0402_CAP";"SMD Capacitor";"CAP CER 2200PF 25V 10% X7R 0402";"490-5419-1-ND";"Murata";"";"GRM155R71E222KA01D";"";
"C17";"3.3nF";"CAPACITOR0402_CAP";"0402_CAP";"SMD Capacitor";"CAP CER 3300PF 50V 10% X7R 0402";"490-3248-1-ND";"Murata";"";"GRM155R71H332KA01D";"";
"C18";"3.3nF";"CAPACITOR0402_CAP";"0402_CAP";"SMD Capacitor";"CAP CER 3300PF 50V 10% X7R 0402";"490-3248-1-ND";"Murata";"";"GRM155R71H332KA01D";"";
"C19";"10nF";"CAPACITOR0402_CAP";"0402_CAP";"SMD Capacitor";"CAP CER 10000PF 50V 10% X7R 0402";"490-4516-1-ND";"Murata";"";"GRM155R71H103KA88D";"";
"C20";"47nF";"CAPACITOR0402_CAP";"0402_CAP";"SMD Capacitor";"CAP CER 0.047UF 25V X7R 0402";"490-3254-1-ND";"Murata";"";"GRM155R71E473KA88D";"";
"C21";"100nF";"CAPACITOR0402_CAP";"0402_CAP";"SMD Capacitor";"CAP CER 0.1UF 10V X7R 0402";"490-10777-1-ND";"Murata";"";"GRM155R71A104JA01D";"";
"C22";"100nF";"CAPACITOR0402_CAP";"0402_CAP";"SMD Capacitor";"CAP CER 0.1UF 10V X7R 0402";"490-10777-1-ND";"Murata";"";"GRM155R71A104JA01D";"";
"C23";"100nF";"CAPACITOR0402_CAP";"0402_CAP";"SMD Capacitor";"CAP CER 0.1UF 10V X7R 0402";"490-10777-1-ND";"Murata";"";"GRM155R71A104JA01D";"";
"C24";"100nF";"CAPACITOR0402_CAP";"0402_CAP";"SMD Capacitor";"CAP CER 0.1UF 10V X7R 0402";"490-10777-1-ND";"Murata";"";"GRM155R71A104JA01D";"";
"C25";"100nF";"CAPACITOR0402_CAP";"0402_CAP";"SMD Capacitor";"CAP CER 0.1UF 10V X7R 0402";"490-10777-1-ND";"Murata";"";"GRM155R71A104JA01D";"";
"C26";"100nF";"CAPACITOR0402_CAP";"0402_CAP";"SMD Capacitor";"CAP CER 0.1UF 10V X7R 0402";"490-10777-1-ND";"Murata";"";"GRM155R71A104JA01D";"";
"C27";"100nF";"CAPACITOR0402_CAP";"0402_CAP";"SMD Capacitor";"CAP CER 0.1UF 10V X7R 0402";"490-10777-1-ND";"Murata";"";"GRM155R71A104JA01D";"";
"C28";"100nF";"CAPACITOR0402_CAP";"0402_CAP";"SMD Capacitor";"CAP CER 0.1UF 10V X7R 0402";"490-10777-1-ND";"Murata";"";"GRM155R71A104JA01D";"";
"C29";"100nF";"CAPACITOR0402_CAP";"0402_CAP";"SMD Capacitor";"CAP CER 0.1UF 10V X7R 0402";"490-10777-1-ND";"Murata";"";"GRM155R71A104JA01D";"";
"C30";"1uF";"CAPACITOR0402_CAP";"0402_CAP";"SMD Capacitor";"CAP CER 1UF 6.3V X5R 0402";"490-1320-1-ND";"Murata";"";"GRM155R60J105KE19D";"";
"C31";"4.7uF";"CAPACITOR0402_CAP";"0402_CAP";"SMD Capacitor";"CAP CER 4.7UF 10V X5R 0402";"490-13252-1-ND";"Murata";"";"ZRB15XR61A475KE01D";"";
"C32";"6.8uF";"CAPACITOR0402_CAP";"0402_CAP";"SMD Capacitor";"CAP CER 4.7UF 10V X5R 0402";"490-13252-1-ND";"Murata";"";"ZRB15XR61A475KE01D";"";
"C33";"10uF";"CAPACITOR0402_CAP";"0402_CAP";"SMD Capacitor";"CAP CER 10UF 6.3V X6S 0402";"490-13233-1-ND";"Murata";"";"GRM155C80J106ME11D";"";
"C34";"10uF";"CAPACITOR0402_CAP";"0402_CAP";"SMD Capacitor";"CAP CER 10UF 6.3V X6S 0402";"490-13233-1-ND";"Murata";"";"GRM155C80J106ME11D";"";
"C35";"10uF";"CAPACITOR0402_CAP";"0402_CAP";"SMD Capacitor";"CAP CER 10UF 6.3V X6S 0402";"490-13233-1-ND";"Murata";"";"GRM155C80J106ME11D";"";
"C36";"22uF";"CAPACITOR0402_CAP";"0402_CAP";"SMD Capacitor";"CAP CER 22UF 6.3V X5R 0402";"1276-6834-1-ND";"Samsung";"";"CL05A226MQ5QUNC";"";
"C37";"22uF";"CAPACITOR0402_CAP";"0402_CAP";"SMD Capacitor";"CAP CER 22UF 6.3V X5R 0402";"1276-6834-1-ND";"Samsung";"";"CL05A226MQ5QUNC";"";
"C38";"100uF";"CAPACITOR0805_CAP";"0805_CAP";"SMD Capacitor";"CAP CER 100UF 6.3V X5R 0805";"490-13981-1-ND";"Murata";"";"GRM21BR60J107ME15L";"";
"C39";"220uF";"CAPACITOR1210_CAP";"1210_CAP";"SMD Capacitor";"CAP CER 220UF 6.3V X5R 1210";"1276-3375-1-ND";"Samsung";"";"CL32A227MQVNNNE";"";
"D1";"14V";"DIODE_ZENER0402";"0402_DIODE";"";"";"PESD0402-140CT-ND";"Littlefuse";"";"PESD0402-140";"";
"D2";"14V";"DIODE_ZENER0402";"0402_DIODE";"";"";"PESD0402-140CT-ND";"Littlefuse";"";"PESD0402-140";"";
"D3";"14V";"DIODE_ZENER0402";"0402_DIODE";"";"";"PESD0402-140CT-ND";"Littlefuse";"";"PESD0402-140";"";
"D4";"14V";"DIODE_ZENER0402";"0402_DIODE";"";"";"PESD0402-140CT-ND";"Littlefuse";"";"PESD0402-140";"";
"FB1";"1.5k";"FERRITE_BEAD0402";"0402_CAP";"";"FERRITE BEAD 1.5 KOHM 0402 1LN";"445-2158-1-ND";"TDK";"";"MMZ1005Y152CT000";"";
"J1";"MOLEX_73251-135X";"MOLEX_73251-135X";"SMA-J/PCB";"SMA JACK SMT 50 OHM";"";"WM9357-ND";"Molex";"";"0732511350";"";
"J2";"MOLEX_73251-135X";"MOLEX_73251-135X";"SMA-J/PCB";"SMA JACK SMT 50 OHM";"";"WM9357-ND";"Molex";"";"0732511350";"";
"J3";"NANO_SIM";"NANO_SIM";"WURTH_NANO_SIM";"WURTH Nano SIM Connector";"";"732-5954-1-ND";"";"";"";"";
"J4";"";"PINHD-2X4";"2X04";"PIN HEADER";"DIL VERTICAL PC TAIL PIN HEADER";"952-2123-ND";"Harwin";"";"M20-9980446";"";
"J5";"";"PINHD-2X4";"2X04";"PIN HEADER";"DIL VERTICAL PC TAIL PIN HEADER";"952-2123-ND";"Harwin";"";"M20-9980446";"";
"J6";"";"PINHD-2X5";"2X05";"PIN HEADER";"CONN HEADER 10POS .100 STR TIN";"609-3243-ND";"FCI";"";"67997-410HLF";"";
"J7";"SIGNPOST_DEBUG_HEADERSMT";"SIGNPOST_DEBUG_HEADERSMT";"SIGNPOST_DEBUG_HEADER_SMT";"The 8 Pin signpost Debug Header";"";"WM17450-ND";"Molex";"";"0015912080";"";
"J8";"SIGNPOST_MODULE_HEADER";"SIGNPOST_MODULE_HEADER";"SIGNPOST_MODULE_HEADER";"The 14 pin signpost module header";"";"S9170-ND";"Sullins Connector";"";"SBH11-PBPC-D07-ST-BK";"";
"J9";"TC2030-JLINK-NL";"TC2030-JLINK-NL";"TC2030-IDC-NL";"";"";"";"";"";"";"";
"J10";"TC2030-JLINK-L";"TC2030-JLINK-L";"TC2030-IDC";"";"";"";"";"";"";"";
"J11";"TC2030-JLINK-NL";"TC2030-JLINK-NL";"TC2030-IDC-NL";"";"";"";"";"";"";"";
"J12";"U.FL-R-SMT";"U.FL-R-SMT";"U.FL_SMT";"U.FL-R-SMT Antenna Connector";"";"H122041-ND";"Hirose";"";"U.FL-R-SMT-1(01)";"";
"J13";"U.FL-R-SMT";"U.FL-R-SMT";"U.FL_SMT";"U.FL-R-SMT Antenna Connector";"";"H122041-ND";"Hirose";"";"U.FL-R-SMT-1(01)";"";
"L1";"15nH";"INDUCTOR0402";"0402_CAP";"A very specific inductor";"FIXED IND 15NH 320MA 460 MOHM";"587-1521-1-ND";"Taiyo Yuden";"";"HK100515NJ-T";"";
"L2";"2.2uH";"INDUCTORIHL";"IHL-1212BZ-11";"A very specific inductor";"";"541-1322-1-ND";"Vishay Dale";"";"IHLP1212BZER2R2M11";"";
"L3";"2.2uH";"INDUCTORIHL";"IHL-1212BZ-11";"A very specific inductor";"";"541-1322-1-ND";"Vishay Dale";"";"IHLP1212BZER2R2M11";"";
"L4";"10uH";"INDUCTOR0603";"0603_CAP";"A very specific inductor";"FIXED IND 10UH 50MA 900 MOHM SMD";"490-4025-1-ND";"Murata";"";"LQM18FN100M00D";"";
"L5";"22uH";"LHQ3NP";"1212";"LHQ3NP Inductor";"";"490-5350-1-ND";"Murata";"";"LQH3NPN220MJ0L";"";
"LED1";"BLUE";"LED0603";"LED-0603";"LED";"";"511-1578-1-ND ";"Rohm";"";"SML-D12M8WT86";"";
"LED2";"BLUE";"LED0603";"LED-0603";"LED";"";"511-1578-1-ND ";"Rohm";"";"SML-D12M8WT86";"";
"LED3";"BLUE";"LED0603";"LED-0603";"LEDs";"";"511-1578-1-ND ";"Rohm";"";"SML-D12M8WT86";"";
"LED4";"SML-LX0404SIUPGUSB";"SML-LX0404SIUPGUSB";"1MM_SQ_4PAD";"1mm^2 RGB LED";"";"67-2125-1-ND";"Lumex Opto";"";"SML-LX0404SIUPGUSB";"";
"Q1";"MOSFET-NCHANNELSMD";"MOSFET-NCHANNELSMD";"SOT23-3";"Generic NMOS footprint";"MOSFET N-CH 60V 0.115A SOT-23";"2N7002LT1GOSCT-ND";"ON Semiconductor";"";"2N7002LT1G";"";
"Q2";"MOSFET-NCHANNELSMD";"MOSFET-NCHANNELSMD";"SOT23-3";"Generic NMOS footprint";"MOSFET N-CH 60V 0.115A SOT-23";"2N7002LT1GOSCT-ND";"ON Semiconductor";"";"2N7002LT1G";"";
"Q3";"MOSFET-NCHANNELSMD";"MOSFET-NCHANNELSMD";"SOT23-3";"Generic NMOS footprint";"MOSFET N-CH 60V 0.115A SOT-23";"2N7002LT1GOSCT-ND";"ON Semiconductor";"";"2N7002LT1G";"";
"Q4";"SI223DDS";"SI223DDS";"SOT23-3";"6A SOT-23 P Fet";"";"SI2333DDS-T1-GE3CT-ND";"Vishay Siliconix";"";"SI2333DDS-T1-GE3";"";
"Q5";"SI223DDS";"SI223DDS";"SOT23-3";"6A SOT-23 P Fet";"";"SI2333DDS-T1-GE3CT-ND";"Vishay Siliconix";"";"SI2333DDS-T1-GE3";"";
"Q6";"SI223DDS";"SI223DDS";"SOT23-3";"6A SOT-23 P Fet";"";"SI2333DDS-T1-GE3CT-ND";"Vishay Siliconix";"";"SI2333DDS-T1-GE3";"";
"R1";"0";"RESISTOR0402_RES";"0402_RES";"Resistor";"RES SMD 0 OHM JUMPER 1/16W 0402";"311-0.0JRCT-ND";"Yageo";"";"RC0402JR-070RL";"";
"R2";"0";"RESISTOR0402_RES";"0402_RES";"Resistor";"RES SMD 0 OHM JUMPER 1/16W 0402";"311-0.0JRCT-ND";"Yageo";"";"RC0402JR-070RL";"";
"R3";"0";"RESISTOR0402_RES";"0402_RES";"Resistor";"RES SMD 0 OHM JUMPER 1/16W 0402";"311-0.0JRCT-ND";"Yageo";"";"RC0402JR-070RL";"";
"R4";"0.015";"RESISTOR0603_RES";"0603-RES";"Resistor";"RES SMD 15 MOHM 1% 1/4W 0603";"408-1406-1-ND";"Susumu";"";"RL0816T-R015-F";"";
"R5";"0.43";"RESISTOR0402_RES";"0402_RES";"Resistor";"RES SMD 430 MOHM 1% 1/6W 0402";"P.43AKCT-ND";"Panasonic";"";"ERJ-2BQFR43X";"";
"R6";"3.32";"RESISTOR0402_RES";"0402_RES";"Resistor";"RES SMD 3.32 OHM 1% 1/16W 0402";"541-3.32LLCT-ND";"Vishay Dale";"";"CRCW04023R32FKED";"";
"R7";"100";"RESISTOR0402_RES";"0402_RES";"Resistor";"RES SMD 100 OHM 1% 1/16W 0402";"311-100LRCT-ND";"Yageo";"";"RC0402FR-07100RL";"";
"R8";"100";"RESISTOR0402_RES";"0402_RES";"Resistor";"RES SMD 100 OHM 1% 1/16W 0402";"311-100LRCT-ND";"Yageo";"";"RC0402FR-07100RL";"";
"R9";"100";"RESISTOR0402_RES";"0402_RES";"Resistor";"RES SMD 100 OHM 1% 1/16W 0402";"311-100LRCT-ND";"Yageo";"";"RC0402FR-07100RL";"";
"R10";"150";"RESISTOR0402_RES";"0402_RES";"Resistor";"RES SMD 150 OHM 1% 1/16W 0402";"RHM150CDCT-ND";"Rohm";"";"MCR01MRTF1500";"";
"R11";"1k";"RESISTOR0402_RES";"0402_RES";"Resistor";"RES SMD 1K OHM 5% 1/16W 0402";"311-1.0KJRCT-ND";"Yageo";"";"RC0402JR-071KL";"";
"R12";"1k";"RESISTOR0402_RES";"0402_RES";"Resistor";"RES SMD 1K OHM 5% 1/16W 0402";"311-1.0KJRCT-ND";"Yageo";"";"RC0402JR-071KL";"";
"R13";"1k";"RESISTOR0402_RES";"0402_RES";"Resistor";"RES SMD 1K OHM 5% 1/16W 0402";"311-1.0KJRCT-ND";"Yageo";"";"RC0402JR-071KL";"";
"R14";"1k";"RESISTOR0402_RES";"0402_RES";"Resistor";"RES SMD 1K OHM 5% 1/16W 0402";"311-1.0KJRCT-ND";"Yageo";"";"RC0402JR-071KL";"";
"R15";"1k";"RESISTOR0402_RES";"0402_RES";"Resistor";"RES SMD 1K OHM 5% 1/16W 0402";"311-1.0KJRCT-ND";"Yageo";"";"RC0402JR-071KL";"";
"R16";"1k";"RESISTOR0402_RES";"0402_RES";"Resistor";"RES SMD 1K OHM 5% 1/16W 0402";"311-1.0KJRCT-ND";"Yageo";"";"RC0402JR-071KL";"";
"R17";"10k";"RESISTOR0402_RES";"0402_RES";"Resistor";"RES SMD 10K OHM 5% 1/16W 0402";"311-10KJRCT-ND";"Yageo";"";"RC0402JR-0710KL";"";
"R18";"10k";"RESISTOR0402_RES";"0402_RES";"Resistor";"RES SMD 10K OHM 5% 1/16W 0402";"311-10KJRCT-ND";"Yageo";"";"RC0402JR-0710KL";"";
"R19";"10k";"RESISTOR0402_RES";"0402_RES";"Resistor";"RES SMD 10K OHM 5% 1/16W 0402";"311-10KJRCT-ND";"Yageo";"";"RC0402JR-0710KL";"";
"R20";"10k";"RESISTOR0402_RES";"0402_RES";"Resistor";"RES SMD 10K OHM 5% 1/16W 0402";"311-10KJRCT-ND";"Yageo";"";"RC0402JR-0710KL";"";
"R21";"10k";"RESISTOR0402_RES";"0402_RES";"Resistor";"RES SMD 10K OHM 5% 1/16W 0402";"311-10KJRCT-ND";"Yageo";"";"RC0402JR-0710KL";"";
"R22";"10k";"RESISTOR0402_RES";"0402_RES";"Resistor";"RES SMD 10K OHM 5% 1/16W 0402";"311-10KJRCT-ND";"Yageo";"";"RC0402JR-0710KL";"";
"R23";"10k";"RESISTOR0402_RES";"0402_RES";"Resistor";"RES SMD 10K OHM 5% 1/16W 0402";"311-10KJRCT-ND";"Yageo";"";"RC0402JR-0710KL";"";
"R24";"10k";"RESISTOR0402_RES";"0402_RES";"Resistor";"RES SMD 10K OHM 5% 1/16W 0402";"311-10KJRCT-ND";"Yageo";"";"RC0402JR-0710KL";"";
"R25";"10k";"RESISTOR0402_RES";"0402_RES";"Resistor";"RES SMD 10K OHM 5% 1/16W 0402";"311-10KJRCT-ND";"Yageo";"";"RC0402JR-0710KL";"";
"R26";"10k";"RESISTOR0402_RES";"0402_RES";"Resistor";"RES SMD 10K OHM 5% 1/16W 0402";"311-10KJRCT-ND";"Yageo";"";"RC0402JR-0710KL";"";
"R27";"10k";"RESISTOR0402_RES";"0402_RES";"Resistor";"RES SMD 10K OHM 5% 1/16W 0402";"311-10KJRCT-ND";"Yageo";"";"RC0402JR-0710KL";"";
"R28";"10k";"RESISTOR0402_RES";"0402_RES";"Resistor";"RES SMD 10K OHM 5% 1/16W 0402";"311-10KJRCT-ND";"Yageo";"";"RC0402JR-0710KL";"";
"R29";"10k";"RESISTOR0402_RES";"0402_RES";"Resistor";"RES SMD 10K OHM 5% 1/16W 0402";"311-10KJRCT-ND";"Yageo";"";"RC0402JR-0710KL";"";
"R30";"10k";"RESISTOR0402_RES";"0402_RES";"Resistor";"RES SMD 10K OHM 5% 1/16W 0402";"311-10KJRCT-ND";"Yageo";"";"RC0402JR-0710KL";"";
"R31";"10k";"RESISTOR0402_RES";"0402_RES";"Resistor";"RES SMD 10K OHM 5% 1/16W 0402";"311-10KJRCT-ND";"Yageo";"";"RC0402JR-0710KL";"";
"R32";"12k";"RESISTOR0402_RES";"0402_RES";"Resistor";"";"RHM12.0KCDCT-ND";"Rohm";"";"MCR01MRTF1202";"";
"R33";"100k";"RESISTOR0402_RES";"0402_RES";"Resistor";"RES SMD 100K OHM 1% 1/16W 0402";"311-100KLRCT-ND";"Yageo";"";"RC0402FR-07100KL";"";
"R34";"100k";"RESISTOR0402_RES";"0402_RES";"Resistor";"RES SMD 100K OHM 1% 1/16W 0402";"311-100KLRCT-ND";"Yageo";"";"RC0402FR-07100KL";"";
"R35";"100k";"RESISTOR0402_RES";"0402_RES";"Resistor";"RES SMD 100K OHM 1% 1/16W 0402";"311-100KLRCT-ND";"Yageo";"";"RC0402FR-07100KL";"";
"R36";"100k";"RESISTOR0402_RES";"0402_RES";"Resistor";"RES SMD 100K OHM 1% 1/16W 0402";"311-100KLRCT-ND";"Yageo";"";"RC0402FR-07100KL";"";
"R37";"100k";"RESISTOR0402_RES";"0402_RES";"Resistor";"RES SMD 100K OHM 1% 1/16W 0402";"311-100KLRCT-ND";"Yageo";"";"RC0402FR-07100KL";"";
"R38";"100k";"RESISTOR0402_RES";"0402_RES";"Resistor";"RES SMD 100K OHM 1% 1/16W 0402";"311-100KLRCT-ND";"Yageo";"";"RC0402FR-07100KL";"";
"R39";"100k";"RESISTOR0402_RES";"0402_RES";"Resistor";"RES SMD 100K OHM 1% 1/16W 0402";"311-100KLRCT-ND";"Yageo";"";"RC0402FR-07100KL";"";
"R40";"100k";"RESISTOR0402_RES";"0402_RES";"Resistor";"RES SMD 100K OHM 1% 1/16W 0402";"311-100KLRCT-ND";"Yageo";"";"RC0402FR-07100KL";"";
"R41";"100k";"RESISTOR0402_RES";"0402_RES";"Resistor";"RES SMD 100K OHM 1% 1/16W 0402";"311-100KLRCT-ND";"Yageo";"";"RC0402FR-07100KL";"";
"R42";"200k";"RESISTOR0402_RES";"0402_RES";"Resistor";"";"P200KLCT-ND";"Panasonic";"";"ERJ-2RKF2003X";"";
"R43";"240k";"RESISTOR0402_RES";"0402_RES";"Resistor";"RES SMD 240K OHM 5% 1/16W 0402";"YAG3291CT-ND";"Yageo";"";"RC0402JR-07240KL";"";
"R44";"750k";"RESISTOR0402_RES";"0402_RES";"Resistor";"";"YAG3228CT-ND";"Yageo";"";"RC0402FR-07750KL";"";
"R45";"750k";"RESISTOR0402_RES";"0402_RES";"Resistor";"RES SMD 750K OHM 1% 1/16W 0402";"YAG3228CT-ND";"Yageo";"";"RC0402FR-07750KL";"";
"S1";"B3U-1000P";"B3U-1000P";"B3U-1000P";"Switch";"";"SW1020CT-ND";"Omron";"";"B3U-1000P";"";
"TP1";"TEST_POINT_0.040IN";"TEST_POINT_0.040IN";"TESTPOINT_0.040IN";"0.040in Test Point";"";"5001K-ND";"";"";"";"";
"TP2";"TEST_POINT_0.040IN";"TEST_POINT_0.040IN";"TESTPOINT_0.040IN";"0.040in Test Point";"";"5001K-ND";"";"";"";"";
"TP3";"TEST_POINT_0.040IN";"TEST_POINT_0.040IN";"TESTPOINT_0.040IN";"0.040in Test Point";"";"5001K-ND";"";"";"";"";
"TP4";"TEST_POINT_0.040IN";"TEST_POINT_0.040IN";"TESTPOINT_0.040IN";"0.040in Test Point";"";"5001K-ND";"";"";"";"";
"U$1";"UCB_CAL100MIL";"UCB_CAL100MIL";"UCB_CAL_100MIL";"";"";"";"";"";"";"";
"U1";"LTC2941";"LTC2941";"DFN-6-2MMX3MM";"I2C Battery Gas Gauge";"";"LTC2941IDCB#TRMPBFCT-ND";"LTC";"";"LTC2941IDCB#TRMPBF";"";
"U2";"LTC2941";"LTC2941";"DFN-6-2MMX3MM";"I2C Battery Gas Gauge";"";"LTC2941IDCB#TRMPBFCT-ND";"LTC";"";"LTC2941IDCB#TRMPBF";"";
"U3";"LTC2941";"LTC2941";"DFN-6-2MMX3MM";"I2C Battery Gas Gauge";"";"LTC2941IDCB#TRMPBFCT-ND";"LTC";"";"LTC2941IDCB#TRMPBF";"";
"U4";"NRF51822QF";"NRF51822QF";"QFN-48-6MM";"Multiprotocol BluetoothÂ® 4.0 low energy/2.4 GHz RF SoC";"";"1490-1049-1-ND";"Nordic Semi";"949-NRF51822-QFAC-R7";"NRF51822-QFAC-R7 ";"";
"U5";"PCA9544AQFN-N20";"PCA9544AQFN-N20";"QFN-N20";"1-4 I2C/SMBUS Multiplexer with interrupt for power supply coulomb counters";"";"296-20960-1-ND";"TI";"";"PCA9544ARGYR";"";
"U6";"SAM4LC8BA";"SAM4LC8BA";"QFN-64-9MM";"SAM4L Microcontroller. 64QFN Package. 512 Flash.";"";"ATSAM4LC8BA-MU";"Microchip";"";"ATSAM4LC8BA-MUR";"";
"U7";"TLV62130";"TLV62130";"TQFN-16/3MM";"High Efficient 3A switching step-down regulator. 1V-5V out, 4V-17V in.";"";"296-35978-1-ND";"Texas Instruments";"";"TLV62130RGTR";"";
"U8";"TLV62130";"TLV62130";"TQFN-16/3MM";"High Efficient 3A switching step-down regulator. 1V-5V out, 4V-17V in.";"";"296-35978-1-ND";"Texas Instruments";"";"TLV62130RGTR";"";
"U9";"TXB0104RUT";"TXB0104RUT";"UQFN-12";"4-channel bidirectional level translater";"";"296-25888-1-ND";"TI";"";"TXB0104RUTR";"";
"U10";"UBLOX_SARA_G350";"UBLOX_SARA_G350";"UBLOX_SARA_G3";"Sara G350 2.5G Radio Module";"";"";"";"";"";"";
"U11";"XDOT_MODULE";"XDOT_MODULE";"XDOT_MODULE";"Multitech XDOT LoRa Module";"";"";"Multitech";"";"MTXDOT-NA1-A00-1";"";
"X1";"16 MHz";"FH1600015";"FHXXX";"Pericom Type FH 16 MHz 2.5 x 2.0 mm";"";"FH1600015CT-ND";"Diodes Incorporated";"";"FH1600015";"";
"X4";"16MHz";"TXC-8Y";"TXC-8Y";"2mmx1.6mm SMD Crystal";"";"887-2003-1-ND";"TXC";"";"8Y-16.000MAAV-T";"";
"X5";"ABS05-32.768KHZ-9-T";"ABS05-32.768KHZ-9-T";"ABS05";"32.768kHz Crystal";"";"535-11897-1-ND";"Abracon";"";"ABS05-32.768KHZ-9-T";"";
