"Part";"Value";"Device";"Package";"Description";"DIGIKEY";"MANUFACTURER";"MOUSER";"MPN";"NEWARK";
"!CS";"TEST_POINT_0.040IN";"TEST_POINT_0.040IN";"TESTPOINT_0.040IN";"0.040in Test Point";"5001K-ND";"";"";"";"";
"C1";"8pF";"CAPACITOR0402_CAP";"0402_CAP";"SMD Capacitor";"490-8230-1-ND";"Murata";"";"GRM1555C1H8R0BA01D";"";
"C2";"8pF";"CAPACITOR0402_CAP";"0402_CAP";"SMD Capacitor";"490-8230-1-ND";"Murata";"";"GRM1555C1H8R0BA01D";"";
"C3";"33pF";"CAPACITOR0603_CAP";"0603_CAP";"SMD Capacitor";"490-1415-1-ND";"Murata";"";"GRM1885C1H330JA01D";"";
"C4";"33pF";"CAPACITOR0603_CAP";"0603_CAP";"SMD Capacitor";"490-1415-1-ND";"Murata";"";"GRM1885C1H330JA01D";"";
"C5";"100pF";"CAPACITOR0603_CAP";"0603_CAP";"SMD Capacitor";"490-1427-1-ND";"Murata";"";"GRM1885C1H101JA01D";"";
"C6";"100pF";"CAPACITOR0603_CAP";"0603_CAP";"SMD Capacitor";"490-1427-1-ND";"Murata";"";"GRM1885C1H101JA01D";"";
"C7";"360pF";"CAPACITOR0603_CAP";"0603_CAP";"SMD Capacitor";"490-1440-1-ND";"Murata";"";"GRM1885C1H361JA01D";"";
"C8";"360pF";"CAPACITOR0603_CAP";"0603_CAP";"SMD Capacitor";"490-1440-1-ND";"Murata";"";"GRM1885C1H361JA01D";"";
"C9";"1nF";"CAPACITOR0603_CAP";"0603_CAP";"SMD Capacitor";"490-1494-1-ND";"Murata";"";"GRM188R71H102KA01D";"";
"C10";"1nF";"CAPACITOR0603_CAP";"0603_CAP";"SMD Capacitor";"490-1494-1-ND";"Murata";"";"GRM188R71H102KA01D";"";
"C11";"1nF";"CAPACITOR0603_CAP";"0603_CAP";"SMD Capacitor";"490-1494-1-ND";"Murata";"";"GRM188R71H102KA01D";"";
"C12";"1.2nF";"CAPACITOR0603_CAP";"0603_CAP";"SMD Capacitor";"490-13298-1-ND";"Murata";"";"GCM1885C1H122JA16D";"";
"C13";"1.2nF";"CAPACITOR0603_CAP";"0603_CAP";"SMD Capacitor";"490-13298-1-ND";"Murata";"";"GCM1885C1H122JA16D";"";
"C14";"3.3nF";"CAPACITOR0603_CAP";"0603_CAP";"SMD Capacitor";"490-1503-1-ND";"Murata";"";"GRM188R71H332KA01D";"";
"C15";"0.1uF";"CAPACITOR0603_CAP";"0603_CAP";"SMD Capacitor";"490-1532-1-ND";"Murata";"";"GRM188R71C104KA01D";"";
"C16";"0.1uF";"CAPACITOR0603_CAP";"0603_CAP";"SMD Capacitor";"490-1532-1-ND";"Murata";"";"GRM188R71C104KA01D";"";
"C17";"0.1uF";"CAPACITOR0603_CAP";"0603_CAP";"SMD Capacitor";"490-1532-1-ND";"Murata";"";"GRM188R71C104KA01D";"";
"C18";"0.1uF";"CAPACITOR0603_CAP";"0603_CAP";"SMD Capacitor";"490-1532-1-ND";"Murata";"";"GRM188R71C104KA01D";"";
"C19";"0.1uF";"CAPACITOR0603_CAP";"0603_CAP";"SMD Capacitor";"490-1532-1-ND";"Murata";"";"GRM188R71C104KA01D";"";
"C20";"100nF";"CAPACITOR0402_CAP";"0402_CAP";"SMD Capacitor";"490-10777-1-ND";"Murata";"";"GRM155R71A104JA01D";"";
"C21";"100nF";"CAPACITOR0603_CAP";"0603_CAP";"SMD Capacitor";"490-1532-1-ND";"Murata";"";"GRM188R71C104KA01D";"";
"C22";"100nF";"CAPACITOR0603_CAP";"0603_CAP";"SMD Capacitor";"490-1532-1-ND";"Murata";"";"GRM188R71C104KA01D";"";
"C23";"100nF";"CAPACITOR0603_CAP";"0603_CAP";"SMD Capacitor";"490-1532-1-ND";"Murata";"";"GRM188R71C104KA01D";"";
"C24";"100nF";"CAPACITOR0603_CAP";"0603_CAP";"SMD Capacitor";"490-1532-1-ND";"Murata";"";"GRM188R71C104KA01D";"";
"C25";"1uF";"CAPACITOR0603_CAP";"0603_CAP";"SMD Capacitor";"490-1536-1-ND";"Murata";"";"GRM188R61C105KA93D";"";
"C26";"1uF";"CAPACITOR0603_CAP";"0603_CAP";"SMD Capacitor";"490-1536-1-ND";"Murata";"";"GRM188R61C105KA93D";"";
"C27";"1uF";"CAPACITOR0603_CAP";"0603_CAP";"SMD Capacitor";"490-1536-1-ND";"Murata";"";"GRM188R61C105KA93D";"";
"C28";"1uF";"CAPACITOR0603_CAP";"0603_CAP";"SMD Capacitor";"490-1536-1-ND";"Murata";"";"GRM188R61C105KA93D";"";
"C29";"1uF";"CAPACITOR0603_CAP";"0603_CAP";"SMD Capacitor";"490-1536-1-ND";"Murata";"";"GRM188R61C105KA93D";"";
"C30";"4.7uF";"CAPACITOR0603_CAP";"0603_CAP";"SMD Capacitor";"490-3297-1-ND";"Murata";"";"GRM188R60J475KE19D";"";
"C31";"4.7uF";"CAPACITOR0603_CAP";"0603_CAP";"SMD Capacitor";"490-3297-1-ND";"Murata";"";"GRM188R60J475KE19D";"";
"C32";"6.8uF";"CAPACITOR0603_CAP";"0603_CAP";"SMD Capacitor";"445-7484-1-ND";"TDk";"";"C1608X5R1A685K080AC";"";
"C33";"10uF";"CAPACITOR0603_CAP";"0603_CAP";"SMD Capacitor";"490-6405-1-ND";"Murata";"";"GRM188R60J106ME47J";"";
"C34";"22uF";"CAPACITOR0603_CAP";"0603_CAP";"SMD Capacitor";"490-13241-1-ND";"Murata";"";"GRM186R60J226ME15D";"";
"FB1";"1.5k";"FERRITE_BEAD0402";"0402_CAP";"";"490-5216-1-ND";"Murata";"";"BLM18HE152SN1D";"";
"J1";"AUDIO-JACK-VERTICAL";"AUDIO-JACK-VERTICAL";"AUDIO-JACK-VERTICAL";"A vertical audio jack";"";"Kycon";"806-STX-3790-5N";"STX-3790-5N";"";
"J2";"SIGNPOST_DEBUG_HEADER";"SIGNPOST_DEBUG_HEADER";"SIGNPOST_DEBUG_HEADER";"The 8 Pin signpost Debug Header";"S2221EC-04-ND";"Sullins Connector";"";"PRPC004DFBN-RC";"";
"J3";"SIGNPOST_MODULE_HEADER";"SIGNPOST_MODULE_HEADER";"SIGNPOST_MODULE_HEADER";"The 14 pin signpost module header";"S9170-ND";"Sullins Connector";"";"SBH11-PBPC-D07-ST-BK";"";
"J4";"TC2030-JLINK-L";"TC2030-JLINK-L";"TC2030-IDC";"";"";"";"";"";"";
"L1";"2.2uH";"INDUCTORIHL";"IHL-1212BZ-11";"A very specific inductor";"541-1322-1-ND";"Vishay Dale";"";"IHLP1212BZER2R2M11";"";
"L2";"22uH";"LHQ3NP";"1212";"LHQ3NP Inductor";"490-5350-1-ND";"Murata";"";"LQH3NPN220MJ0L";"";
"LED1";"LED0603";"LED0603";"LED-0603";"LED";"160-1446-1-ND";"Lite-On";"";"LTST-C191KGKT";"";
"LED2";"LED0603";"LED0603";"LED-0603";"LED";"160-1447-1-ND";"Lite-On";"";"LTST-C191KRKT";"";
"LED3";"LED0603";"LED0603";"LED-0603";"LED";"160-1446-1-ND";"Lite-On";"";"LTST-C191KGKT";"";
"LED4";"LED0603";"LED0603";"LED-0603";"LED";"160-1447-1-ND";"Lite-On";"";"LTST-C191KRKT";"";
"P1";"4k-200k";"POTTC33X";"TC33X-2";"Potentiometer";"TC33X-2-204ECT-ND";"";"";"";"";
"P2";"4k-200k";"POTTC33X";"TC33X-2";"Potentiometer";"TC33X-2-204ECT-ND";"";"";"";"";
"Q1";"NX3008PBK";"NX3008PBK";"SOT23-3";"MOSFET - P Channel";"568-10499-1-ND";"Nexperia";"771-NX3008PBK,215";"NX3008PBK,215";"74T4665";
"Q2";"NX3008PBK";"NX3008PBK";"SOT23-3";"MOSFET - P Channel";"568-10499-1-ND";"Nexperia";"771-NX3008PBK,215";"NX3008PBK,215";"74T4665";
"R1";"0";"RESISTOR0603_RES";"0603-RES";"Resistor";"1276-3431-1-ND";"Samsung";"";"RC1005F103CS";"";
"R2";"1k";"RESISTOR0603_RES";"0603-RES";"Resistor";"RHM1.0KDCT-N";"Murata";"";"ESR03EZPJ102";"";
"R3";"1k";"RESISTOR0603_RES";"0603-RES";"Resistor";"RHM1.0KDCT-ND";"Murata";"";"ESR03EZPJ102";"";
"R4";"1k";"RESISTOR0603_RES";"0603-RES";"Resistor";"RHM1.0KDCT-ND";"Murata";"";"ESR03EZPJ102";"";
"R5";"1k";"RESISTOR0603_RES";"0603-RES";"Resistor";"RHM1.0KDCT-ND";"Murata";"";"ESR03EZPJ102";"";
"R6";"1.5k";"RESISTOR0603_RES";"0603-RES";"Resistor";"RHM1.5KCGCT-ND";"Rohm";"";"MCR03ERTJ152
";"";
"R7";"1.5k";"RESISTOR0603_RES";"0603-RES";"Resistor";"RHM1.5KCGCT-ND";"Rohm";"";"MCR03ERTJ152
";"";
"R8";"1.5k";"RESISTOR0603_RES";"0603-RES";"Resistor";"RHM1.5KCGCT-ND";"Rohm";"";"MCR03ERTJ152";"";
"R9";"1.5k";"RESISTOR0603_RES";"0603-RES";"Resistor";"RHM1.5KCGCT-ND";"Rohm";"";"MCR03ERTJ152";"";
"R10";"10k";"RESISTOR0603_RES";"0603-RES";"Resistor";"RHM10.0KHCT-ND";"Rohm";"";"MCR03EZPFX1002";"";
"R11";"10k";"RESISTOR0603_RES";"0603-RES";"Resistor";"RHM10.0KHCT-ND";"Rohm";"";"MCR03EZPFX1002";"";
"R12";"10k";"RESISTOR0603_RES";"0603-RES";"Resistor";"RHM10.0KHCT-ND ";"Rohm";"";"MCR03EZPFX1002";"";
"R13";"10k";"RESISTOR0603_RES";"0603-RES";"Resistor";"RHM10.0KHCT-ND";"Rohm";"";"MCR03EZPFX1002";"";
"R14";"10k";"RESISTOR0603_RES";"0603-RES";"Resistor";"RHM10.0KHCT-ND";"Rohm";"";"MCR03EZPFX1002";"";
"R15";"19k";"RESISTOR0603_RES";"0603-RES";"Resistor";"RHM19.1KCFCT-ND";"Rohm";"";"MCR03ERTF1912";"";
"R16";"19k";"RESISTOR0603_RES";"0603-RES";"Resistor";"RHM19.1KCFCT-ND";"Rohm";"";"MCR03ERTF1912";"";
"R17";"20k";"RESISTOR0603_RES";"0603-RES";"Resistor";"RHM20KCGCT-ND";"Rohm";"";"MCR03ERTJ203";"";
"R18";"20k";"RESISTOR0603_RES";"0603-RES";"Resistor";"RHM20KCGCT-ND";"Rohm";"";"MCR03ERTJ203";"";
"R19";"20k";"RESISTOR0603_RES";"0603-RES";"Resistor";"RHM20KCGCT-ND";"Rohm";"";"MCR03ERTJ203";"";
"R20";"20k";"RESISTOR0603_RES";"0603-RES";"Resistor";"RHM20KCGCT-ND";"Rohm";"";"MCR03ERTJ203";"";
"R21";"20k";"RESISTOR0603_RES";"0603-RES";"Resistor";"RHM20KCGCT-ND";"Rohm";"";"MCR03ERTJ203";"";
"R22";"20k";"RESISTOR0603_RES";"0603-RES";"Resistor";"RHM20KCGCT-ND";"Rohm";"";"MCR03ERTJ203";"";
"R23";"20k";"RESISTOR0603_RES";"0603-RES";"Resistor";"RHM20KCGCT-ND";"Rohm";"";"MCR03ERTJ203";"";
"R24";"20k";"RESISTOR0603_RES";"0603-RES";"Resistor";"RHM20KCGCT-ND";"Rohm";"";"MCR03ERTJ203";"";
"R25";"60k";"RESISTOR0603_RES";"0603-RES";"Resistor";"RHM60.4KCLCT-ND";"Rohm";"";"MCR03ERTF6042";"";
"R26";"100k";"RESISTOR0603_RES";"0603-RES";"Resistor";"RHM100KCGCT-ND";"Rohm";"";"MCR03ERTJ104";"";
"R27";"100k";"RESISTOR0603_RES";"0603-RES";"Resistor";"RHM100KCGCT-ND";"Rohm";"";"MCR03ERTJ104";"";
"R28";"100k";"RESISTOR0603_RES";"0603-RES";"Resistor";"RHM100KCGCT-ND";"Rohm";"";"MCR03ERTJ104";"";
"R29";"100k";"RESISTOR0603_RES";"0603-RES";"Resistor";"RHM100KCGCT-ND";"Rohm";"";"MCR03ERTJ104";"";
"R30";"100k";"RESISTOR0603_RES";"0603-RES";"Resistor";"RHM100KCGCT-ND";"Rohm";"";"MCR03ERTJ104";"";
"R31";"100k";"RESISTOR0603_RES";"0603-RES";"Resistor";"RHM100KCGCT-ND";"Rohm";"";"MCR03ERTJ104";"";
"R32";"200k";"RESISTOR0603_RES";"0603-RES";"Resistor";"RHM200KCFCT-ND";"Rohm";"";"MCR03ERTF2003";"";
"R33";"200k";"RESISTOR0603_RES";"0603-RES";"Resistor";"RHM200KCFCT-ND";"Rohm";"";"MCR03ERTF2003";"";
"R34";"240k";"RESISTOR0603_RES";"0603-RES";"Resistor";"RHM240KCFCT-ND";"Rohm";"";"RHM240KCFCT-ND";"";
"R35";"750k";"RESISTOR0603_RES";"0603-RES";"Resistor";"RHM750KCFCT-ND";"Rohm";"";"MCR03ERTF7503";"";
"S1";"B3U-1000P";"B3U-1000P";"B3U-1000P";"Switch";"SW1020CT-ND";"Omron";"";"B3U-1000P";"";
"SCLK";"TEST_POINT_0.040IN";"TEST_POINT_0.040IN";"TESTPOINT_0.040IN";"0.040in Test Point";"5001K-ND";"";"";"";"";
"SI";"TEST_POINT_0.040IN";"TEST_POINT_0.040IN";"TESTPOINT_0.040IN";"0.040in Test Point";"5001K-ND";"";"";"";"";
"SO";"TEST_POINT_0.040IN";"TEST_POINT_0.040IN";"TESTPOINT_0.040IN";"0.040in Test Point";"5001K-ND";"";"";"";"";
"TP1";"TEST_POINT_0.040IN";"TEST_POINT_0.040IN";"TESTPOINT_0.040IN";"0.040in Test Point";"5001K-ND";"";"";"";"";
"TP2";"TEST_POINT_0.040IN";"TEST_POINT_0.040IN";"TESTPOINT_0.040IN";"0.040in Test Point";"5001K-ND";"";"";"";"";
"TP3";"TEST_POINT_0.040IN";"TEST_POINT_0.040IN";"TESTPOINT_0.040IN";"0.040in Test Point";"5001K-ND";"";"";"";"";
"TP4";"TEST_POINT_0.040IN";"TEST_POINT_0.040IN";"TESTPOINT_0.040IN";"0.040in Test Point";"5001K-ND";"";"";"";"";
"TP5";"TEST_POINT_0.040IN";"TEST_POINT_0.040IN";"TESTPOINT_0.040IN";"0.040in Test Point";"5001K-ND";"";"";"";"";
"TP6";"TEST_POINT_0.040IN";"TEST_POINT_0.040IN";"TESTPOINT_0.040IN";"0.040in Test Point";"5001K-ND";"";"";"";"";
"TP7";"TEST_POINT_0.040IN";"TEST_POINT_0.040IN";"TESTPOINT_0.040IN";"0.040in Test Point";"5001K-ND";"";"";"";"";
"TP8";"TEST_POINT_0.040IN";"TEST_POINT_0.040IN";"TESTPOINT_0.040IN";"0.040in Test Point";"5001K-ND";"";"";"";"";
"TP9";"TEST_POINT_0.040IN";"TEST_POINT_0.040IN";"TESTPOINT_0.040IN";"0.040in Test Point";"5001K-ND";"";"";"";"";
"TP10";"TEST_POINT_0.040IN";"TEST_POINT_0.040IN";"TESTPOINT_0.040IN";"0.040in Test Point";"5001K-ND";"";"";"";"";
"U1";"AT45DB641EUDFN";"AT45DB641EUDFN";"UDFN-8-5MMX6MM";"64 Mbit flash memory";"AT45DB641E-MHN-TCT-ND";"Adesto";"";"AT45DB641E-MHN-T";"";
"U2";"MP23AB02B";"MP23AB02B";"MP23AB02B";"A pretty normal mems microphone";"497-14947-1-ND";"STMicroelectronics";"";"MP23AB02BTR";"";
"U3";"MSGEQ7";"MSGEQ7";"DIP-8";"A CMOS spectrum analyzer";"1568-1335-ND";"Sparkfun Electronics";"";"COM-10468";"";
"U4";"MSGEQ7";"MSGEQ7";"DIP-8";"A CMOS spectrum analyzer";"1568-1335-ND";"Sparkfun Electronics";"";"COM-10468";"";
"U5";"OPA344";"OPA344";"SOT23-5";"Single gate rail-to-rail output op-amp. Inputs extend 300mV past rails.";"OPA344NACT-ND";"Texax Instruments";"";"OPA344NA/250";"";
"U6";"OPA344";"OPA344";"SOT23-5";"Single gate rail-to-rail output op-amp. Inputs extend 300mV past rails.";"OPA344NACT-ND";"Texax Instruments";"";"OPA344NA/250";"";
"U7";"OPA344";"OPA344";"SOT23-5";"Single gate rail-to-rail output op-amp. Inputs extend 300mV past rails.";"OPA344NACT-ND";"Texax Instruments";"";"OPA344NA/250";"";
"U8";"OPA344";"OPA344";"SOT23-5";"Single gate rail-to-rail output op-amp. Inputs extend 300mV past rails.";"OPA344NACT-ND";"Texax Instruments";"";"OPA344NA/250";"";
"U9";"SAM4LC8BA";"SAM4LC8BA";"QFN-64-9MM";"SAM4L Microcontroller. 64QFN Package. 512 Flash.";"ATSAM4LC8BA-MURCT-ND";"Microchip";"";"ATSAM4LC8BA-MUR";"";
"U10";"TLV62130";"TLV62130";"TQFN-16/3MM";"High Efficient 3A switching step-down regulator. 1V-5V out, 4V-17V in.";"296-35978-1-ND";"Texas Instruments";"";"TLV62130RGTR";"";
"X1";"16MHz";"FH1600015";"FHXXX";"Pericom Type FH 16 MHz 2.5 x 2.0 mm";"FH1600015CT-ND";"Diodes Incorporated";"";"FH1600015";"";
